time,AAPL_Close,MSFT_Close,AMZN_Close,FB_Close,GOOGL_Close
2021-04-13 00:00:00-04:00,134.41,258.49,3400.0,309.74,2253.21
2021-04-14 00:00:00-04:00,132.12,255.91,3334.4,302.87,2241.46
2021-04-15 00:00:00-04:00,134.5,259.56,3378.89,307.785,2283.72
2021-04-16 00:00:00-04:00,134.15,260.74,3399.21,306.18,2282.44
2021-04-19 00:00:00-04:00,134.921,258.96,3373.94,302.24,2289.74
2021-04-20 00:00:00-04:00,133.12,258.28,3334.68,302.64,2279.01
2021-04-21 00:00:00-04:00,133.49,260.61,3361.52,301.4,2277.79
2021-04-22 00:00:00-04:00,131.94,257.2,3308.0676,296.49,2252.86
2021-04-23 00:00:00-04:00,134.3,261.13,3340.52,301.1,2299.94
2021-04-26 00:00:00-04:00,134.73,261.55,3408.96,303.19,2311.53
2021-04-27 00:00:00-04:00,134.39,262.18,3417.43,303.49,2290.18
2021-04-28 00:00:00-04:00,133.7801,254.71,3461.12,307.11,2359.04
2021-04-29 00:00:00-04:00,133.48,252.46,3471.31,329.51,2392.51
2021-04-30 00:00:00-04:00,131.53,252.27,3470.02,325.25,2353.74
2021-05-03 00:00:00-04:00,132.5563,251.8801,3386.49,322.6,2343.11
2021-05-04 00:00:00-04:00,127.93,247.93,3312.65,318.43,2306.64
2021-05-05 00:00:00-04:00,128.16,246.51,3271.17,315.02,2315.68
2021-05-06 00:00:00-04:00,129.72,249.71,3306.37,320.02,2337.22
2021-05-07 00:00:00-04:00,130.2,252.33,3289.7,318.75,2350.87
2021-05-10 00:00:00-04:00,126.9,247.27,3190.0,306.13,2291.62
2021-05-11 00:00:00-04:00,125.8492,246.228,3223.11,306.45,2269.3
2021-05-12 00:00:00-04:00,122.8255,239.03,3152.62,302.55,2199.06
2021-05-13 00:00:00-04:00,124.92,242.88,3162.0,305.16,2228.94
2021-05-14 00:00:00-04:00,127.44,248.15,3222.9,315.94,2278.38
2021-05-17 00:00:00-04:00,126.26,245.18,3271.79,315.47,2289.46
2021-05-18 00:00:00-04:00,124.85,243.02,3232.73,310.01,2262.19
2021-05-19 00:00:00-04:00,124.69,243.14,3231.95,313.71,2272.2
2021-05-20 00:00:00-04:00,127.31,246.48,3248.54,318.61,2306.97
2021-05-21 00:00:00-04:00,125.43,245.19,3202.0,316.23,2294.87
2021-05-24 00:00:00-04:00,127.1001,250.85,3244.68,324.8,2361.04
2021-05-25 00:00:00-04:00,126.93,251.85,3259.05,327.79,2364.19
2021-05-26 00:00:00-04:00,126.85,251.5,3265.19,327.75,2381.63
2021-05-27 00:00:00-04:00,125.45,249.7,3232.06,332.76,2363.02
2021-05-28 00:00:00-04:00,124.62,249.79,3224.68,328.85,2356.85
2021-06-01 00:00:00-04:00,124.3,247.38,3218.65,329.07,2381.19
2021-06-02 00:00:00-04:00,125.09,247.33,3234.92,329.12,2370.59
2021-06-03 00:00:00-04:00,123.555,245.71,3187.94,326.01,2348.0
2021-06-04 00:00:00-04:00,125.88,250.78,3206.22,330.31,2393.2
2021-06-07 00:00:00-04:00,125.91,253.87,3199.31,336.59,2403.09
2021-06-08 00:00:00-04:00,126.74,252.54,3264.14,333.67,2397.95
2021-06-09 00:00:00-04:00,127.16,253.62,3281.22,330.31,2407.84
2021-06-10 00:00:00-04:00,126.11,257.24,3349.65,332.48,2435.15
2021-06-11 00:00:00-04:00,127.3521,257.89,3346.83,331.26,2430.29
2021-06-14 00:00:00-04:00,130.49,259.88,3384.94,336.82,2448.92
2021-06-15 00:00:00-04:00,129.74,258.52,3384.88,336.73,2429.16
2021-06-16 00:00:00-04:00,130.14,257.51,3414.78,331.08,2415.4
2021-06-17 00:00:00-04:00,131.78,260.91,3489.68,336.42,2433.66
2021-06-18 00:00:00-04:00,130.4,259.32,3486.37,329.54,2400.62
2021-06-21 00:00:00-04:00,132.29,262.63,3453.96,332.28,2436.25
2021-06-22 00:00:00-04:00,133.97,265.51,3505.5,339.11,2446.61
2021-06-23 00:00:00-04:00,133.7,265.27,3503.51,340.59,2442.55
2021-06-24 00:00:00-04:00,133.4,266.64,3449.08,343.18,2450.0
2021-06-25 00:00:00-04:00,133.11,265.02,3404.9,341.37,2450.18
2021-06-28 00:00:00-04:00,134.75,268.72,3443.89,355.6594,2451.55
2021-06-29 00:00:00-04:00,136.33,271.4,3449.48,351.85,2444.89
2021-06-30 00:00:00-04:00,136.94,270.89,3440.29,347.82,2441.389
2021-07-01 00:00:00-04:00,137.27,271.72,3432.98,354.39,2448.89
2021-07-02 00:00:00-04:00,139.96,277.66,3510.99,354.62,2505.68
2021-07-06 00:00:00-04:00,142.02,277.66,3675.72,352.87,2523.8
2021-07-07 00:00:00-04:00,144.59,280.0,3698.49,350.51,2529.47
2021-07-08 00:00:00-04:00,143.32,277.53,3731.42,345.66,2501.85
2021-07-09 00:00:00-04:00,145.11,277.92,3717.6802,350.42,2509.13
